projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
1_tullibee,51,94.117645,84.31373,45.098038,78.43137,39.215687,62.745102,7.8431377,41.17647,5.882353,7.8431377,62.745102,0,98.039215,1.9607844,0
2_a4j,134,95.522385,91.791046,100,87.31343,95.522385,85.82089,40.298508,86.56716,37.31343,40.298508,85.82089,0,100,0,0
4_rif,1,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0
6_jnfe,4,100,25,25,25,25,100,100,100,100,100,100,0,100,0,0
7_sfmis,7,100,57.14286,57.14286,57.14286,57.14286,71.42857,71.42857,100,71.42857,71.42857,71.42857,0,100,0,0
8_gfarcegestionfa,13,100,53.846157,69.230774,53.846157,69.230774,61.538464,38.46154,84.61539,38.46154,38.46154,61.538464,0,76.92308,0,0
9_falselight,2,100,100,100,100,100,100,50,100,50,50,100,0,100,0,0
10_water-simulator,8,100,100,75,100,75,100,62.5,100,62.5,62.5,100,0,50,50,0
11_imsmart,1,0,100,100,0,0,100,0,0,0,0,100,0,100,0,0
12_dsachat,5,80,60.000004,60.000004,40,40,100,80,100,80,80,100,0,60.000004,40,0
13_jdbacl,5983,99.09744,99.86629,99.966576,98.96373,99.06402,1.5376902,19.555407,92.662544,17.399298,19.555407,1.5376902,0,99.966576,0.033428047,0
14_omjstate,1,100,100,100,100,100,100,0,0,0,0,100,0,0,100,0
15_beanbin,9,44.444447,88.88889,88.88889,33.333336,33.333336,55.555557,44.444447,66.66667,22.222223,44.444447,55.555557,11.111112,55.555557,22.222223,11.111112
17_inspirento,5,80,80,80,60.000004,60.000004,100,100,80,100,100,100,0,100,0,0
18_jsecurity,53,86.79245,45.28302,52.83019,33.962265,41.509434,66.037735,35.849056,64.15094,28.301886,35.849056,66.037735,5.6603775,71.69811,0,5.6603775
