projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
6_jnfe,3,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
8_gfarcegestionfa,3,100,100,100,100,100,100,100,100,100,100,100,0,66.66667,33.333336,0
10_water-simulator,3,100,100,100,100,100,100,100,100,100,100,100,0,33.333336,66.66667,0
12_dsachat,10,100,100,100,100,100,100,100,100,100,100,100,0,40,50,0
13_jdbacl,3,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
17_inspirento,2,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
19_jmca,1,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0
21_geo-google,455,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
23_jwbf,5,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
27_gangup,4,100,100,100,100,100,100,100,100,100,100,100,0,75,25,0
34_sbmlreader2,3,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
35_corina,31,100,100,100,100,100,100,100,100,100,100,100,0,64.51613,35.48387,0
43_lilith,61,100,100,100,100,100,100,100,100,100,100,100,0,93.44263,1.6393442,0
44_summa,13,100,100,100,100,100,100,100,100,100,100,100,0,69.230774,23.076923,0
46_nutzenportfolio,2,100,100,100,100,100,100,100,100,100,100,100,0,50,50,0
47_dvd-homevideo,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
51_jiprof,3,100,100,100,100,100,100,100,100,100,100,100,0,66.66667,33.333336,0
52_lagoon,21,100,100,100,100,100,100,100,100,100,100,100,0,71.42857,14.285715,0
54_db-everywhere,32,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
56_jhandballmoves,5,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
59_mygrid,21,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
61_noen,56,100,100,100,100,100,100,100,100,100,100,100,0,92.85714,5.357143,0
62_dom4j,21,100,100,100,100,100,100,100,100,100,100,100,0,66.66667,4.7619047,0
63_objectexplorer,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
66_openjms,1177,100,100,100,100,100,100,100,100,100,100,100,0,98.89549,0.93457943,0
69_lhamacaw,11,100,100,100,100,100,100,100,100,100,100,100,0,63.636364,36.363636,0
70_echodep,20,100,100,100,100,100,100,100,100,100,100,100,0,40,40,0
71_ext4j,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
72_battlecry,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
73_fim1,3,100,100,100,100,100,100,100,100,100,100,100,0,33.333336,66.66667,0
74_fixsuite,23,100,100,100,100,100,100,100,100,100,100,100,0,95.652176,4.347826,0
75_openhre,14,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
78_caloriecount,106,100,100,100,100,100,100,100,100,100,100,100,0,81.13208,3.7735848,0
80_wheelwebtool,3,100,100,100,100,100,100,100,100,100,100,100,0,66.66667,33.333336,0
82_ipcalculator,11,100,100,100,100,100,100,100,100,100,100,100,0,18.181818,81.818184,0
83_xbus,3,100,100,100,100,100,100,100,100,100,100,100,0,0,66.66667,0
84_ifx-framework,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
88_jopenchart,3,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
89_jiggler,94,100,100,100,100,100,100,100,100,100,100,100,0,14.893617,3.1914895,0
92_jcvi-javacommon,54,100,100,100,100,100,100,100,100,100,100,100,0,90.74074,9.259259,0
93_quickserver,2,100,100,100,100,100,100,100,100,100,100,100,0,0,100,0
95_celwars2009,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
96_heal,8,100,100,100,100,100,100,100,100,100,100,100,0,62.5,37.5,0
97_feudalismgame,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
101_netweaver,15,100,100,100,100,100,100,100,100,100,100,100,0,73.333336,6.666667,0
102_squirrel-sql,412,100,100,100,100,100,100,100,100,100,100,100,0,93.4466,6.31068,0
103_sweethome3d,86,100,100,100,100,100,100,100,100,100,100,100,0,87.209305,8.139535,0
104_vuze,348,100,100,100,100,100,100,100,100,100,100,100,0,68.39081,16.091955,0
105_freemind,21,100,100,100,100,100,100,100,100,100,100,100,0,80.952385,19.047619,0
106_checkstyle,15,100,100,100,100,100,100,100,100,100,100,100,0,73.333336,26.666668,0
107_weka,1568,100,100,100,100,100,100,100,100,100,100,100,0,90.561226,3.8265307,0
109_pdfsam,35,100,100,100,100,100,100,100,100,100,100,100,0,82.85715,14.285715,0
110_firebird,29,100,100,100,100,100,100,100,100,100,100,100,0,68.965515,24.13793,0
Total,4826,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,74.99,17.96,0.00
