projectName,numberOfClones,returnTypesAreSimilar,numberAndTypesOfParametersAreSameOrSimilar,atLeastOneParameterIsSimilar,returnTypesAndParametersAreSimilar,returnTypesAndAtLeastOneParameterAreSimilar,atLeastOneRootWordIsSimilar,allRootWordsAreSimilar,atLeastOneSynonymIsSimilar,atLeastOneSynonymForAllRootWordsIsSimilar,returnTypesAndAllRootWordsAndAllParametersAreSimilar,returnTypesAndAtleastOneRootWordAndAtLeastOneParameterAreSimilar,returnTypesAndAtLeastOneSynonymForAllRootWordsAndAtLeastOneParameterAreSimilar,isClonePairPublic,isClonePairPrivate,isClonePairPublicPrivateCombination
1_tullibee,1,100,100,100,100,100,100,0,0,0,0,100,0,100,0,0
2_a4j,62,100,82.258064,100,82.258064,100,83.870964,3.2258062,85.48387,0,3.2258062,83.870964,0,100,0,0
4_rif,1,100,0,100,0,100,100,100,100,100,100,100,0,0,100,0
6_jnfe,1,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
7_sfmis,2,100,100,100,100,100,100,100,100,100,100,100,0,100,0,0
8_gfarcegestionfa,2,100,50,100,50,100,50,50,50,50,50,50,0,100,0,0
9_falselight,2,100,100,100,100,100,100,50,100,50,50,100,0,100,0,0
10_water-simulator,31,100,100,100,100,100,100,96.77419,100,96.77419,96.77419,100,0,93.548386,6.4516125,0
12_dsachat,3,100,66.66667,66.66667,66.66667,66.66667,100,66.66667,100,66.66667,66.66667,100,0,66.66667,33.333336,0
13_jdbacl,175,99.42857,100,100,99.42857,99.42857,10.857142,3.4285712,54.85714,2.2857141,3.4285712,10.857142,0,99.42857,0.57142854,0
15_beanbin,3,100,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,33.333336,33.333336,33.333336,33.333336
17_inspirento,6,100,83.33333,83.33333,83.33333,83.33333,100,83.33333,66.66667,83.33333,83.33333,100,0,100,0,0
18_jsecurity,3,100,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,0,33.333336,0,0
19_jmca,407,100,99.754295,89.92629,99.754295,89.92629,29.97543,9.33661,48.64865,4.914005,9.33661,29.97543,0,79.60688,19.41032,0
22_byuic,2,100,100,100,100,100,100,50,100,50,50,100,0,0,100,0
23_jwbf,28,96.42857,100,100,96.42857,96.42857,100,100,100,96.42857,100,100,0,21.428572,10.714286,0
24_saxpath,1,100,0,0,0,0,100,100,100,100,100,100,0,100,0,0
25_jni-inchi,6,50,33.333336,33.333336,16.666668,16.666668,100,83.33333,100,33.333336,83.33333,100,0,100,0,0
27_gangup,9,100,100,100,100,100,100,77.77778,100,77.77778,77.77778,100,0,66.66667,22.222223,0
29_apbsmem,6,100,100,100,100,100,100,100,100,100,100,100,0,16.666668,0,0
30_bpmail,1,0,100,100,0,0,0,0,100,0,0,0,0,100,0,0
32_httpanalyzer,17,100,94.117645,94.117645,94.117645,94.117645,100,100,100,100,100,100,0,100,0,0
33_javaviewcontrol,36,100,100,100,100,100,97.22222,0,97.22222,0,0,97.22222,0,0,97.22222,0
35_corina,49,91.83673,97.95918,95.918365,89.79591,89.79591,95.918365,87.755104,95.918365,83.67347,87.755104,95.918365,2.0408163,75.5102,12.244898,2.0408163
36_schemaspy,3,100,100,66.66667,100,66.66667,66.66667,33.333336,66.66667,33.333336,33.333336,66.66667,33.333336,33.333336,33.333336,33.333336
38_javabullboard,6,66.66667,100,100,66.66667,66.66667,83.33333,83.33333,100,0,83.33333,83.33333,0,100,0,0
40_glengineer,11,100,54.545456,100,54.545456,100,100,81.818184,100,54.545456,81.818184,100,0,81.818184,18.181818,0
43_lilith,796,28.39196,95.226135,95.226135,23.61809,23.74372,99.37186,98.36684,98.99498,98.36684,98.36684,99.37186,0.5025126,63.31658,35.929646,0.5025126
44_summa,45,80,73.333336,93.333336,62.222225,73.333336,86.666664,93.333336,97.77778,84.44444,93.333336,86.666664,0,71.111115,17.777779,0
